FID_,osm_id,lastchange,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
,40823115, ,5122,residential,Strada Făgetului,,0,0,0,0,0
,40823116, ,5122,residential,Strada Elocinței,,0,0,0,0,0
,40823117, ,5122,residential,Strada Ghioceilor,,0,0,0,0,0
,40823118, ,5122,residential,Strada Molidului,,0,0,0,0,0
,40823119, ,5122,residential,Strada Mărășești,,0,0,0,0,0
,40823120, ,5122,residential,Strada Timotei Cipariu,,0,0,0,0,0
,40823121, ,5122,residential,Strada Ion Creangă,,0,0,0,0,0
,40823122, ,5122,residential,Strada Ion Luca Caragiale,,0,0,0,0,0
,40823123, ,5122,residential,Strada Dornei,,0,0,0,0,0
,40823124, ,5122,residential,Strada Păltiniș,,0,0,0,0,0
,40823125, ,5122,residential,Strada Carpați,,0,0,0,0,0
,40823126, ,5122,residential,Strada Vlăsiei,,0,0,0,0,0
,40823127, ,5122,residential,Strada Ion D. Petrescu,,0,0,0,0,0
,40823128, ,5122,residential,Strada George Coșbuc,,0,0,0,0,0
,40823129, ,5122,residential,Strada Alecu Russo,,0,0,0,0,0
,40823130, ,5122,residential,Strada Progresului,,0,0,0,0,0
,40823131, ,5122,residential,Strada Apollon V. Valeriu,,0,0,0,0,0
,40823132, ,5122,residential,Strada 22 Decembrie,,0,0,0,0,0
,40823133, ,5122,residential,Strada Theodor Neculuță,,0,0,0,0,0
,40823134, ,5122,residential,Strada Ecaterina Teodoroiu,,0,0,0,0,0
,40823135, ,5122,residential,Strada Mihai Eminescu,,0,0,0,0,0
,40823136, ,5122,residential,Strada Enăchiță Văcărescu,,0,0,0,0,0
,40823137, ,5122,residential,Strada Vișeu,,0,0,0,0,0
,40823138, ,5122,residential,Strada Dimitrie Cantemir,,0,0,0,0,0
,40823139, ,5122,residential,Strada Caraiman,,0,0,0,0,0
,40823140, ,5122,residential,Strada Ecoului,,0,0,0,0,0
,40823141, ,5122,residential,Strada Chilian V. Telegescu,,0,0,0,0,0
,40823142, ,5122,residential,Strada H. Papadat Bengescu,,0,0,0,0,0
,40823143, ,5122,residential,Strada Vasile Grădeanu,,0,0,0,0,0
,40837804, ,5121,unclassified,Strada G-ral Grigorre Baștan,,0,0,0,0,0
,40837977, ,5122,residential,Aleea Jupiter,,0,0,0,0,0
,40837978, ,5122,residential,Strada Bistriței,,1,0,0,0,0
,40837979, ,5122,residential,Strada Crizantemelor,,1,0,0,0,0
,40837980, ,5122,residential,Culturii,,0,0,0,0,0
,40837981, ,5122,residential,Strada Victoriei,,0,0,0,0,0
,40837982, ,5122,residential,Strada Decebal,,0,0,0,0,0
,40838064, ,5115,tertiary,Bulevardul Gării,,0,0,0,0,0
,40838065, ,5122,residential,Alea Jupiter,,1,0,0,0,0
,40838066, ,5122,residential,Aleea Jupiter,,0,0,0,0,0
,40839879, ,5122,residential,Strada Dâmbovița,,0,0,0,0,0
,40840052, ,5122,residential,Strada Mioriței,,1,0,0,0,0
,40840053, ,5122,residential,Strada Parângului,,0,0,0,0,0
,40840055, ,5122,residential,Strada Simion Bărnuțiu,,0,0,0,0,0
,40840188, ,5113,primary,Henri Coandă,DN19,0,0,0,0,0
,40840190, ,5122,residential,Strada Corvinului,,1,0,0,0,0
,40841892, ,5121,unclassified,Strada G-ral Grigorre Baștan,,0,0,0,0,0
,40841904, ,5132,trunk_link,Șoseaua Centură,DN2,0,0,0,0,0
,40841905, ,5132,trunk_link,Șoseaua Centură,DN2,0,0,1,1,0
,40841971, ,5122,residential,Aleea Dumbrava,,0,0,0,0,0
,40842276, ,5122,residential,Strada Bâsca,,0,0,0,0,0
,40843144, ,5122,residential,Strada Zambilelor,,0,0,0,0,0
,40843181, ,5122,residential,Strada Aurel Vlaicu,,0,0,0,0,0
,40843182, ,5122,residential,Strada Dinicu Golescu,,0,0,0,0,0
,40843183, ,5122,residential,Strada Depoului,,0,0,0,0,0
,40843184, ,5122,residential,Strada Pinului,,0,0,0,0,0
,40843185, ,5122,residential,Strada Panait Moșoiu,,0,0,0,0,0
,40843186, ,5122,residential,Strada 16 Februarie,,0,0,0,0,0
,40843187, ,5122,residential,Strada Stupăriei,,0,0,0,0,0
,40843188, ,5122,residential,Strada Profesorilor,,0,0,0,0,0
,40843189, ,5122,residential,Strada Lupeni,,0,0,0,0,0
,40843190, ,5122,residential,Strada Bazil Iorgulescu,,0,0,0,0,0
,40843191, ,5122,residential,Strada Dreptății,,0,0,0,0,0
,40843192, ,5122,residential,Strada G-ral Gheorghe Magheru,,0,0,0,0,0
,40843193, ,5122,residential,Strada Bazil Iorgulescu,,0,0,0,0,0
,40843194, ,5122,residential,Strada Stupăriei,,0,0,0,0,0
,40843195, ,5122,residential,Strada Cometei,,0,0,0,0,0
,40843196, ,5122,residential,Strada Piersicului,,0,0,0,0,0
,40843197, ,5122,residential,Strada Piersicului,,0,0,0,0,0
,40843198, ,5122,residential,Strada Piersicului,,0,0,0,0,0
,40843199, ,5122,residential,Strada Piersicului,,0,0,0,0,0
,40843200, ,5122,residential,Strada Piersicului,,0,0,0,0,0
,40843201, ,5122,residential,Strada Piersicului,,0,0,0,0,0
,40844046, ,5122,residential,Strada Războieni,,0,0,0,0,0
,40845304, ,5122,residential,Aleea Caprice,,0,0,0,0,0
,40847797, ,5114,secondary,drumul Ardanului,,0,0,0,0,0
,40847882, ,5114,secondary,Strada Mihai Viteazu,Dj173C,0,0,0,0,0
,40848647, ,5122,residential,Valea Mariilor,,0,0,0,0,0
,40849460, ,5122,residential,Strada George Coșbuc,,0,0,0,0,0
,40851639, ,5122,residential,Eftimie Murgu,,0,0,0,0,0
,40852076, ,5122,residential,Bistriței,,1,0,0,0,0
,40852079, ,5124,pedestrian,Piața Dacia,,0,0,0,0,0
,40852083, ,5122,residential,Oltețului,,0,0,0,0,0
,40852084, ,5124,pedestrian,Strada Cuza Vodă,,0,0,0,0,0
,40852085, ,5122,residential,Griviței,,1,0,0,0,0
,40852086, ,5122,residential,Strada Speranței,,0,0,0,0,0
,40852087, ,5122,residential,Strada Clemenței,,1,0,0,0,0
,40852088, ,5122,residential,Strada Arieșului,,0,0,0,0,0
,40852089, ,5122,residential,Strada Verii,,0,0,0,0,0
,40852090, ,5122,residential,Strada Speranței,,1,0,0,0,0
,40852091, ,5122,residential,Strada Napoca,,0,0,0,0,0
,40852094, ,5122,residential,Dorobanților,,0,0,0,0,0
,40852095, ,5122,residential,Strada Parâng,,0,0,0,0,0
,40852096, ,5122,residential,Strada Soarelui,,0,0,0,0,0
,40852097, ,5121,unclassified,Bulevardul Gării,,1,0,0,0,0
,40855472, ,5122,residential,Strada Mică,,0,0,0,0,0
,40855473, ,5122,residential,Strada Pictorilor,,0,0,0,0,0
,40855476, ,5122,residential,Strada Alexandru cel Bun,,0,0,0,0,0
,40855477, ,5122,residential,Strada Agriculturii,,0,0,0,0,0
,40855478, ,5122,residential,Strada Gloriei,,0,0,0,0,0
,40855479, ,5122,residential,Strada Vulturului,,0,0,0,0,0
,40866139, ,5122,residential,Valea Castailor,,0,0,0,0,0
,40866737, ,5121,unclassified,Bulevardul Gării,,0,0,0,0,0
,40866738, ,5122,residential,Strada Libertății,,0,0,0,0,0
,40866739, ,5122,residential,Strada Aurorei,,0,0,0,0,0
,40866740, ,5122,residential,Strada Sculpturii,,0,0,0,0,0
,40866741, ,5122,residential,Fundătura Virtuții,,0,0,0,0,0
,40866742, ,5122,residential,Strada Filantropiei,,0,0,0,0,0
,40866743, ,5122,residential,Strada Scânteii,,0,0,0,0,0
,40866745, ,5122,residential,Strada Tenor Leonard,,0,0,0,0,0
,40866746, ,5122,residential,Strada 13 Decembrie,,0,0,0,0,0
,40866748, ,5122,residential,Strada Triumfului,,0,0,0,0,0
,40866750, ,5122,residential,Strada Salvării,,0,0,0,0,0
,40866753, ,5122,residential,Strada Victoriei,,0,0,0,0,0
,40866756, ,5122,residential,Strada Crizantemelor,,0,0,0,0,0
,40870337, ,5122,residential,Aleea Parcului,,1,0,0,0,0
,40898658, ,5122,residential,Strada Victoriei,,0,0,0,0,0
,40898661, ,5122,residential,Strada Pietroasa,,0,0,0,0,0
,40898664, ,5122,residential,Bulevardul Independenței,,1,0,0,0,0
,40898678, ,5122,residential,Bulevardul Independenței,,0,0,0,0,0
,40898683, ,5122,residential,Strada Pietroasa,,1,0,0,0,0
,40898693, ,5122,residential,Bulevardul Independenței,,1,0,0,0,0
,40898695, ,5122,residential,Strada Gábor Áron,,1,0,0,0,0
,40901242, ,5122,residential,Strada Sântimbru,,1,0,0,0,0
,40925587, ,5122,residential,Strada Petőfi Sándor,,0,0,0,0,0
,40929551, ,5122,residential,Strada Viitorului,,0,0,0,0,0
,40948682, ,5122,residential,Strada Cometei,,0,0,0,0,0
,40948697, ,5121,unclassified,Strada Matragunei,,0,50,0,0,0
,40948698, ,5121,unclassified,Strada Cărăbușului,,0,50,0,0,0
,40948701, ,5121,unclassified,Strada Luncii,,0,50,0,0,0
,40948702, ,5121,unclassified,Strada Brumărele,,0,50,0,0,0
,40948703, ,5121,unclassified,Strada Lăptarilor,,0,50,0,0,0
,40948704, ,5121,unclassified,Strada Caprei,,0,50,0,0,0
,40948705, ,5141,service,Strada Spartacus,,0,50,0,0,0
,40948708, ,5122,residential,Strada Migdalului,,0,0,0,0,0
,40948709, ,5141,service,Strada Cocostârcului,,0,50,0,0,0
,40948710, ,5122,residential,Strada Livezilor,,0,0,0,0,0
,40948712, ,5122,residential,Fundatura Fântânelor,,0,0,0,0,0
,40948715, ,5122,residential,Strada Mihai Eminescu,,0,0,0,0,0
,40948723, ,5121,unclassified,Strada Brateș,,0,50,0,0,0
,40948883, ,5121,unclassified,Strada Bega,,0,50,0,0,0
