Tip artera	Denumire artera	Numar	Codpostal	Sector	Oficiu distribuire
Strad?	"Mincu Ion, arh."	nr. 21-T	011357	1	Bucure?ti 2
Strad?	"Mincu Ion, arh."	nr. 14-T	011359	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 1-25	011421	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 27-45	011422	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 47-69	011423	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 71-T	011424	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 2-24	011425	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 26-50	011426	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 52-72	011427	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 74-T	011428	1	Bucure?ti 2
Strad?	Popa Savu	nr. 1-33	011431	1	Bucure?ti 2
Strad?	Popa Savu	nr. 35-T	011432	1	Bucure?ti 2
Strad?	Popa Savu	nr. 2-40	011433	1	Bucure?ti 2
Strad?	Popa Savu	nr. 42-T	011434	1	Bucure?ti 2
Strad?	Dr?ghiceanu Virgil	nr. 1-T	011435	1	Bucure?ti 2
Strad?	Dr?ghiceanu Virgil	nr. 2-T	011436	1	Bucure?ti 2
Strad?	"Cantacuzino Ioan, prof. dr."	nr. 1-T	011437	1	Bucure?ti 2
Strad?	"Cantacuzino Ioan, prof. dr."	nr. 2-T	011438	1	Bucure?ti 2
Strad?	Uruguay	nr. 17-T	011444	1	Bucure?ti 2
Strad?	Uruguay	nr. 16-T	011446	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 9-29	011342	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 31-55	011343	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 6-24	011346	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 1-5	011401	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 2-14	011403	1	Bucure?ti 2
Strad?	Tuberozelor		011411	1	Bucure?ti 2
Strad?	Br?tianu Gheorghe	nr. 1-T	011412	1	Bucure?ti 2
Strad?	Br?tianu Gheorghe	nr. 2-32	011413	1	Bucure?ti 2
Strad?	Br?tianu Gheorghe	nr. 34-T	011414	1	Bucure?ti 2
Strad?	"Burcu? ?tefan, arh."		011415	1	Bucure?ti 2
Intrare	"Burcu? ?tefan, arh."		011416	1	Bucure?ti 2
Strad?	Alexandrina	nr. 1-T	011441	1	Bucure?ti 2
Strad?	Alexandrina	nr. 2-T	011442	1	Bucure?ti 2
Strad?	Uruguay	nr. 1-15	011443	1	Bucure?ti 2
Strad?	Uruguay	nr. 2-14	011445	1	Bucure?ti 2
Strad?	"?on?u Gheorghe, mr."	nr. 1-T	011447	1	Bucure?ti 2
Strad?	"?on?u Gheorghe, mr."	nr. 2-T	011448	1	Bucure?ti 2
Bulevard	Prezan Constantin	nr. 1-T	011451	1	Bucure?ti 2
Bulevard	Prezan Constantin	nr. 2-T	011452	1	Bucure?ti 2
Pia??	Arcul de Triumf		011453	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 108-126	011203	1	Bucure?ti 2
Pia??	"Mândrescu Simion, prof. univ."		011399	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 1-T	011454	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 2-32	011455	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 34-42	011456	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 44-T	011457	1	Bucure?ti 2
Intrare	Miciurin V.I.		011458	1	Bucure?ti 2
Strad?	M?n?stirea Ca?in		011459	1	Bucure?ti 2
Bulevard	M?r??ti	nr. 19-29	011462	1	Bucure?ti 2
Bulevard	M?r??ti	nr. 2-16	011467	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 128-138	011204	1	Bucure?ti 2
Bulevard	M?r??ti	nr. 1-17	011461	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 1-35	011471	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 37-T	011472	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 2-28	011473	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 30-T	011474	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 1-29	011475	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 31-T	011476	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 2-32	011477	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 34-T	011478	1	Bucure?ti 2
Alee	"Stâlpeanu M. Gheorghe, lt. av."	nr. 1-T	011481	1	Bucure?ti 2
Alee	"Stâlpeanu M. Gheorghe, lt. av."	nr. 2-T	011482	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 15A-31	011352	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 33-T	011353	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 4-T	011355	1	Bucure?ti 2
Strad?	Clucerului	nr. 1-15	011361	1	Bucure?ti 2
Strad?	Clucerului	nr. 17-27	011362	1	Bucure?ti 2
Strad?	Clucerului	nr. 2-24	011365	1	Bucure?ti 2
Strad?	Clucerului	nr. 26-52	011366	1	Bucure?ti 2
Strad?	"Ionescu Nicolae, prof."		011371	1	Bucure?ti 2
Intrare	Zamfirescu-Leonida Eliza		011372	1	Bucure?ti 2
Strad?	Ady Endre	nr. 1-T	011373	1	Bucure?ti 2
Strad?	Ady Endre	nr. 2-T	011374	1	Bucure?ti 2
Strad?	Postelnicului		011375	1	Bucure?ti 2
Intrare	C?lug?reanu Anda		011381	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 5A-T	011402	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 16-T	011404	1	Bucure?ti 2
Strad?	"Petöfi ?ándor, poet"	nr. 1-T	011405	1	Bucure?ti 2
Strad?	"Petöfi ?ándor, poet"	nr. 2-T	011406	1	Bucure?ti 2
Strad?	Gandhi Mahatma		011407	1	Bucure?ti 2
Strad?	"Doroban?u Vasile, serg."		011408	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 100-104	011201	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 106	011202	1	Bucure?ti 2
Strad?	Clucerului	nr. 29-43	011363	1	Bucure?ti 2
Strad?	Clucerului	nr. 45-T	011364	1	Bucure?ti 2
Strad?	Clucerului	nr. 54-64	011367	1	Bucure?ti 2
Strad?	Clucerului	nr. 66-T	011368	1	Bucure?ti 2
Intrare	1 Mai		011369	1	Bucure?ti 2
Strad?	Pivnicerului		011382	1	Bucure?ti 2
Strad?	Paharnicului	nr. 1-T	011383	1	Bucure?ti 2
Strad?	Paharnicului	nr. 2-T	011384	1	Bucure?ti 2
Intrare	?etrarului		011385	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 1-T	011386	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 2-8	011387	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 10-16	011388	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 18-T	011389	1	Bucure?ti 2
Strad?	Racot? Nicolae	nr. 1-T	011391	1	Bucure?ti 2
Strad?	Racot? Nicolae	nr. 2-8	011392	1	Bucure?ti 2
Strad?	Racot? Nicolae	nr. 10-T	011393	1	Bucure?ti 2
Strad?	Stolnicului		011394	1	Bucure?ti 2
Strad?	"Mirea George Demetrescu, pictor"	nr. 1-T	011395	1	Bucure?ti 2
Strad?	"Mirea George Demetrescu, pictor"	nr. 2-T	011396	1	Bucure?ti 2
Strad?	Medelnicerului		011397	1	Bucure?ti 2
Intrare	Stolnicului		011398	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 119-121	011136	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 76-90	011145	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 92-T	011146	1	Bucure?ti 2
Strad?	Valea Merilor	nr. 1-T	011271	1	Bucure?ti 2
Strad?	Valea Merilor	nr. 2-T	011272	1	Bucure?ti 2
Strad?	Comana	nr. 1-T	011273	1	Bucure?ti 2
Strad?	Comana	nr. 2-T	011274	1	Bucure?ti 2
Strad?	Lovinescu Eugen	nr. 1-T	011275	1	Bucure?ti 2
Strad?	Lovinescu Eugen	nr. 2-T	011276	1	Bucure?ti 2
Strad?	Ialomicioarei	nr. 1-T	011277	1	Bucure?ti 2
Strad?	Ialomicioarei	nr. 2-T	011278	1	Bucure?ti 2
Strad?	Bahluiului	nr. 1-T	011281	1	Bucure?ti 2
Strad?	Bahluiului	nr. 2-T	011282	1	Bucure?ti 2
Strad?	"Zaharia, slt."	nr. 1-T	011283	1	Bucure?ti 2
Strad?	"Zaharia, slt."	nr. 2-T	011284	1	Bucure?ti 2
Cale	Grivi?ei	nr. 217-285	010713	1	Bucure?ti 2
Cale	Grivi?ei	nr. 160-166	010746	1	Bucure?ti 2
Cale	Grivi?ei	nr. 168-172	010747	1	Bucure?ti 2
Cale	Grivi?ei	nr. 174-176	010748	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 123-163	011137	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 165-T	011138	1	Bucure?ti 2
Strad?	Marinescu Costache	nr. 1-T	011285	1	Bucure?ti 2
Strad?	Marinescu Costache	nr. 2-T	011286	1	Bucure?ti 2
Strad?	Cipariu Timotei		011287	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 1-13	011291	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 15-47	011292	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 2-54	011294	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 1-35	011235	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 37-T	011236	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 2-32	011237	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 34-T	011238	1	Bucure?ti 2
Intrare	"Câmpeanu Alexandru, mr."		011239	1	Bucure?ti 2
Strad?	C?ld?ru?ani		011241	1	Bucure?ti 2
Strad?	Maica Alexandra	nr. 1-T	011242	1	Bucure?ti 2
Strad?	Maica Alexandra	nr. 2-T	011243	1	Bucure?ti 2
Strad?	Mironiuc Vasile		011244	1	Bucure?ti 2
Strad?	"Vl?doianu Barbu, g-ral."	nr. 1-T	011251	1	Bucure?ti 2
Strad?	"Vl?doianu Barbu, g-ral."	nr. 2-10	011252	1	Bucure?ti 2
Strad?	"Vl?doianu Barbu, g-ral."	nr. 12-T	011253	1	Bucure?ti 2
Strad?	Neculce Ion	nr. 1-T	011254	1	Bucure?ti 2
Strad?	Neculce Ion	nr. 2-38	011255	1	Bucure?ti 2
Strad?	Neculce Ion	nr. 40-T	011256	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 9-29	011222	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 31-T	011223	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 2-10	011224	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 12-16	011225	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 18-22	011226	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 24-T	011227	1	Bucure?ti 2
Strad?	Sarandy Frosa	nr. 1-T	011231	1	Bucure?ti 2
Strad?	Sarandy Frosa	nr. 2-T	011232	1	Bucure?ti 2
Strad?	Manolescu Grigore	nr. 1-T	011233	1	Bucure?ti 2
Strad?	Manolescu Grigore	nr. 2-T	011234	1	Bucure?ti 2
Strad?	"R?ducanu Grigore, sold."	nr. 1-T	011245	1	Bucure?ti 2
Strad?	"R?ducanu Grigore, sold."	nr. 2-T	011246	1	Bucure?ti 2
Strad?	Iulian ?tefan	nr. 1-T	011247	1	Bucure?ti 2
Strad?	Iulian ?tefan	nr. 2-T	011248	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 81-91	011175	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 1-7	011221	1	Bucure?ti 2
Strad?	Rudeanu Teodosie	nr. 1-T	011257	1	Bucure?ti 2
Strad?	Rudeanu Teodosie	nr. 2-36	011258	1	Bucure?ti 2
Strad?	Rudeanu Teodosie	nr. 38-T	011259	1	Bucure?ti 2
Strad?	Petru Maior	nr. 1-73	011261	1	Bucure?ti 2
Strad?	Petru Maior	nr. 75-81	011262	1	Bucure?ti 2
Strad?	Petru Maior	nr. 2-68	011264	1	Bucure?ti 2
Strad?	Petru Maior	nr. 70-80	011265	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 49-T	011293	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 56-T	011295	1	Bucure?ti 2
Strad?	"Gala Galaction, scriitor"	nr. 1-T	011305	1	Bucure?ti 2
Strad?	"Gala Galaction, scriitor"	nr. 2-T	011306	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 93-107	011176	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 109-113	011177	1	Bucure?ti 2
Strad?	Bari?iu George	nr. 1-T	011296	1	Bucure?ti 2
Strad?	Bari?iu George	nr. 2-T	011297	1	Bucure?ti 2
Strad?	Golescu Iordache	nr. 1-11	011301	1	Bucure?ti 2
Strad?	Golescu Iordache	nr. 2-10	011303	1	Bucure?ti 2
Strad?	"Zablovschi, ing."	nr. 1-45	011311	1	Bucure?ti 2
Strad?	"Zablovschi, ing."	nr. 47-T	011312	1	Bucure?ti 2
Strad?	"Zablovschi, ing."	nr. 2-T	011313	1	Bucure?ti 2
Intrare	"Zablovschi, ing."		011314	1	Bucure?ti 2
Strad?	Abrud	nr. 1-T	011315	1	Bucure?ti 2
Strad?	Abrud	nr. 2-60	011316	1	Bucure?ti 2
Strad?	Abrud	nr. 62-114	011317	1	Bucure?ti 2
Strad?	Abrud	nr. 116-T	011318	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 42-52	011193	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 54-58	011194	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 60-62	011195	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 64-84	011196	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 86-94	011197	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 96-98	011198	1	Bucure?ti 2
Pia??	1 Mai		011376	1	Bucure?ti 2
Intrare	Serdarului	nr. 1-9	011377	1	Bucure?ti 2
Intrare	Serdarului	nr. 11-T	011378	1	Bucure?ti 2
Intrare	Serdarului	nr. 2-T	011379	1	Bucure?ti 2
Strad?	"Felix Iacob, dr."	nr. 95-97	011035	1	Bucure?ti 2
Strad?	"Felix Iacob, dr."	nr. 99-T	011036	1	Bucure?ti 2
Strad?	"Felix Iacob, dr."	nr. 66-T	011041	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 1-27	011171	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 2-28	011191	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 30-40	011192	1	Bucure?ti 2
Strad?	Monet?riei		011216	1	Bucure?ti 2
Intrare	Nop?ii		011217	1	Bucure?ti 2
Strad?	Jitia		011218	1	Bucure?ti 2
Pia?et?	Allama Igbal		011219	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 1-7	011341	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 2-4	011345	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 1-15	011351	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 2	011354	1	Bucure?ti 2
Strad?	"Mincu Ion, arh."	nr. 1-19	011356	1	Bucure?ti 2
Strad?	"Mincu Ion, arh."	nr. 2-12	011358	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 73-91	011134	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 93-117	011135	1	Bucure?ti 2
Strad?	"Caraca? Constantin, medic"	nr. 1-T	011154	1	Bucure?ti 2
Strad?	"Caraca? Constantin, medic"	nr. 2-T	011155	1	Bucure?ti 2
Intrare	Verde		011156	1	Bucure?ti 2
Strad?	"Vârtejeanu Artur, mr."		011157	1	Bucure?ti 2
Strad?	Sc?rl?tescu	nr. 1-T	011158	1	Bucure?ti 2
Strad?	Sc?rl?tescu	nr. 2-T	011159	1	Bucure?ti 2
Strad?	"Hen?ia Sava, pictor"	nr. 1-T	011161	1	Bucure?ti 2
Strad?	"Hen?ia Sava, pictor"	nr. 2-T	011162	1	Bucure?ti 2
Strad?	"Carol Popp de Szathmary, pictor"		011163	1	Bucure?ti 2
Strad?	"Constantinide Gh., g-ral."		011164	1	Bucure?ti 2
Intrare	Coje?ti		011165	1	Bucure?ti 2
Intrare	Liteni		011166	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 29-43	011172	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 45-47	011173	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 49-79	011174	1	Bucure?ti 2
Strad?	"Felix Iacob, dr."	nr. 71-93	011034	1	Bucure?ti 2
Strad?	"Felix Iacob, dr."	nr. 52-64	011039	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 1-3	011131	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 5-49	011132	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 51-71	011133	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 2-12	011141	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 14-18	011142	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 20-50	011143	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 52-74	011144	1	Bucure?ti 2
Intrare	Moraviei		011147	1	Bucure?ti 2
Strad?	Lebedei	nr. 1-T	011151	1	Bucure?ti 2
Strad?	Lebedei	nr. 2-T	011152	1	Bucure?ti 2
Strad?	Hagi Moscu Maria		011153	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 115-121	011178	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 123-169	011179	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 171-211	011181	1	Bucure?ti 2
Strad?	Sibiceanu Costache	nr. 17-T	011512	1	Bucure?ti 2
Strad?	Sibiceanu Costache	nr. 16-T	011514	1	Bucure?ti 2
Strad?	Gherghel Paraschiva	nr. 1-T	011531	1	Bucure?ti 2
Strad?	Gherghel Paraschiva	nr. 2-T	011532	1	Bucure?ti 2
Strad?	Ple?oianu Elena		011533	1	Bucure?ti 2
Strad?	"Zosima Dumitru, ing."	nr. 1-27	011534	1	Bucure?ti 2
Strad?	"Zosima Dumitru, ing."	nr. 29-59	011535	1	Bucure?ti 2
Strad?	"Zosima Dumitru, ing."	nr. 61-T	011536	1	Bucure?ti 2
Strad?	"Zosima Dumitru, ing."	nr. 2-22	011537	1	Bucure?ti 2
Strad?	"Zosima Dumitru, ing."	nr. 24-44	011538	1	Bucure?ti 2
Strad?	"Zosima Dumitru, ing."	nr. 46-T	011539	1	Bucure?ti 2
Strad?	"Missail George, scriitor"	nr. 1-53	011541	1	Bucure?ti 2
Strad?	"Missail George, scriitor"	nr. 55-T	011542	1	Bucure?ti 2
Strad?	"Missail George, scriitor"	nr. 2-56	011543	1	Bucure?ti 2
Strad?	"Missail George, scriitor"	nr. 58-T	011544	1	Bucure?ti 2
Strad?	Buzoiani Iani	nr. 2-8	011573	1	Bucure?ti 2
Strad?	Buzoiani Iani	nr. 10-16	011574	1	Bucure?ti 2
Strad?	Buzoiani Iani	nr. 18-24	011575	1	Bucure?ti 2
Strad?	Buzoiani Iani	nr. 26-28	011576	1	Bucure?ti 2
Strad?	Buzoiani Iani	nr. 30-36	011577	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 1-31	011591	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 33-55	011592	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 57-87	011593	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 89-T	011594	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 2-30	011595	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 32-52	011596	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 54-108	011597	1	Bucure?ti 2
Strad?	Ple?oianu Virgil	nr. 110-T	011598	1	Bucure?ti 2
Strad?	Istrati Panait	nr. 1-51	011545	1	Bucure?ti 2
Strad?	Istrati Panait	nr. 53-T	011546	1	Bucure?ti 2
Strad?	Istrati Panait	nr. 2-50	011547	1	Bucure?ti 2
Strad?	Istrati Panait	nr. 52-T	011548	1	Bucure?ti 2
Strad?	Clucereasa Elena	nr. 1-49	011551	1	Bucure?ti 2
Strad?	Clucereasa Elena	nr. 51-T	011552	1	Bucure?ti 2
Strad?	Clucereasa Elena	nr. 2-50	011553	1	Bucure?ti 2
Strad?	Clucereasa Elena	nr. 52-T	011554	1	Bucure?ti 2
Strad?	Islaz	nr. 1-T	011555	1	Bucure?ti 2
Strad?	Islaz	nr. 2-T	011556	1	Bucure?ti 2
Strad?	Crângul cu Ar?ari		011557	1	Bucure?ti 2
Strad?	Caraiman	nr. 1-63	011561	1	Bucure?ti 2
Strad?	Caraiman	nr. 65-T	011562	1	Bucure?ti 2
Strad?	Caraiman	nr. 2-50	011563	1	Bucure?ti 2
Strad?	Caraiman	nr. 52-T	011564	1	Bucure?ti 2
Strad?	Buzoiani Iani	nr. 38-T	011578	1	Bucure?ti 2
Strad?	Gherghel Vasile	nr. 1-33	011581	1	Bucure?ti 2
Strad?	Gherghel Vasile	nr. 35-59	011582	1	Bucure?ti 2
Strad?	Gherghel Vasile	nr. 61-T	011583	1	Bucure?ti 2
Strad?	Gherghel Vasile	nr. 2-20	011584	1	Bucure?ti 2
Strad?	Gherghel Vasile	nr. 22-52	011585	1	Bucure?ti 2
Strad?	Gherghel Vasile	nr. 54-T	011586	1	Bucure?ti 2
Strad?	Turda	nr. 97-119	011322	1	Bucure?ti 2
Strad?	Turda	nr. 121-123	011323	1	Bucure?ti 2
Strad?	Turda	nr. 125	011324	1	Bucure?ti 2
Strad?	Turda	nr. 127	011325	1	Bucure?ti 2
Strad?	Turda	nr. 129-T	011326	1	Bucure?ti 2
Strad?	Cluj	nr. 1-65	011491	1	Bucure?ti 2
Strad?	Cluj	nr. 67-T	011492	1	Bucure?ti 2
Strad?	Cluj	nr. 2-T	011493	1	Bucure?ti 2
Strad?	Sfânta Maria	nr. 1-41	011494	1	Bucure?ti 2
Strad?	Sfânta Maria	nr. 43-T	011495	1	Bucure?ti 2
Strad?	Sfânta Maria	nr. 2-42	011496	1	Bucure?ti 2
Strad?	Sfânta Maria	nr. 44-T	011497	1	Bucure?ti 2
Strad?	Golescu Iordache	nr. 13-T	011302	1	Bucure?ti 2
Strad?	Golescu Iordache	nr. 12-T	011304	1	Bucure?ti 2
Strad?	Turda	nr. 100-112	011334	1	Bucure?ti 2
Strad?	Turda	nr. 114-116	011335	1	Bucure?ti 2
Strad?	Turda	nr. 118-120	011336	1	Bucure?ti 2
Strad?	Turda	nr. 122-T	011337	1	Bucure?ti 2
Strad?	Hagi Ghi??	nr. 1-39	011501	1	Bucure?ti 2
Strad?	Hagi Ghi??	nr. 41-T	011502	1	Bucure?ti 2
Strad?	Hagi Ghi??	nr. 2-46	011503	1	Bucure?ti 2
Strad?	Hagi Ghi??	nr. 48-T	011504	1	Bucure?ti 2
Strad?	Knappe Carol	nr. 1-45	011505	1	Bucure?ti 2
Strad?	Knappe Carol	nr. 47-T	011506	1	Bucure?ti 2
Strad?	Knappe Carol	nr. 2-50	011507	1	Bucure?ti 2
Strad?	Knappe Carol	nr. 52-T	011508	1	Bucure?ti 2
Intrare	Knappe Carol		011509	1	Bucure?ti 2
Strad?	Sibiceanu Costache	nr. 1-15	011511	1	Bucure?ti 2
Strad?	Sibiceanu Costache	nr. 2-14	011513	1	Bucure?ti 2
Strad?	Popa Tatu	nr. 1-23	010801	1	Bucure?ti 12
Strad?	Popa Tatu	nr. 25-45	010802	1	Bucure?ti 12
Strad?	Popa Tatu	nr. 47-63	010803	1	Bucure?ti 12
Strad?	Popa Tatu	nr. 65-T	010804	1	Bucure?ti 12
Strad?	Popa Tatu	nr. 2-34	010805	1	Bucure?ti 12
Strad?	Popa Tatu	nr. 36-74	010806	1	Bucure?ti 12
Strad?	Popa Tatu	nr. 76-T	010807	1	Bucure?ti 12
Pia??	Mu?atescu Tudor		010808	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 1-21	010811	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 23-57	010812	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 59-63	010813	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 65	010814	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 67-85	010815	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 2-42	010821	1	Bucure?ti 12
Strad?	Vulc?nescu Mircea	nr. 44-68	010822	1	Bucure?ti 12
Strad?	Cri?ana	nr. 1-T	010827	1	Bucure?ti 12
Strad?	Cri?ana	nr. 2-T	010828	1	Bucure?ti 12
Strad?	Hora?iu	nr. 1-T	010833	1	Bucure?ti 12
Strad?	Hora?iu	nr. 2-T	010834	1	Bucure?ti 12
Strad?	"Ha?deu Iulia, poet"	nr. 1-T	010835	1	Bucure?ti 12
Strad?	"Ha?deu Iulia, poet"	nr. 2-T	010836	1	Bucure?ti 12
Intrare	"Ha?deu Iulia, poet?"		010837	1	Bucure?ti 12
Intrare	Alexe Marin		010838	1	Bucure?ti 12
Pia??	"Botescu Haralambie, dr."	nr. 1-T	010841	1	Bucure?ti 12
Pia??	"Botescu Haralambie, dr."	nr. 2-T	010842	1	Bucure?ti 12
Strad?	Berzei	nr. 41-77	010252	1	Bucure?ti 12
Strad?	Berzei	nr. 79-83	010253	1	Bucure?ti 12
Strad?	Berzei	nr. 85-T	010254	1	Bucure?ti 12
Strad?	Berzei	nr. 36-48	010261	1	Bucure?ti 12
Strad?	Berzei	nr. 50-60	010262	1	Bucure?ti 12
Strad?	Berzei	nr. 62-T	010263	1	Bucure?ti 12
Strad?	"Dona C. Nicolae, g-ral."	nr. 1-T	010781	1	Bucure?ti 12
Strad?	"Dona C. Nicolae, g-ral."	nr. 2-T	010782	1	Bucure?ti 12
Strad?	Cazzavillan Luigi	nr. 1-13	010783	1	Bucure?ti 12
Strad?	Cazzavillan Luigi	nr. 15-T	010784	1	Bucure?ti 12
Strad?	Cazzavillan Luigi	nr. 2-24	010785	1	Bucure?ti 12
Strad?	Cazzavillan Luigi	nr. 26-T	010786	1	Bucure?ti 12
Intrare	Cazzavillan Luigi		010787	1	Bucure?ti 12
Strad?	Temi?ana	nr. 1-21	010791	1	Bucure?ti 12
Strad?	Temi?ana	nr. 23-T	010792	1	Bucure?ti 12
Strad?	Temi?ana	nr. 2-22	010793	1	Bucure?ti 12
Strad?	Temi?ana	nr. 24-T	010794	1	Bucure?ti 12
Intrare	Temi?ana		010795	1	Bucure?ti 12
Strad?	Transilvaniei	nr. 1-31	010796	1	Bucure?ti 12
Strad?	Transilvaniei	nr. 33-T	010797	1	Bucure?ti 12
Strad?	Transilvaniei	nr. 2-32	010798	1	Bucure?ti 12
