FID_	osm_id	lastchange	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel
	23733157	 	5122	residential	Strada Culmea Făgărașului		0	0	0	0	0
	23733170	 	5122	residential	Strada Aristotel		0	0	0	0	0
	23733401	 	5122	residential	Strada Cremenița		0	0	0	0	0
	23733409	 	5122	residential	Strada Dobrici		0	0	0	0	0
	23733416	 	5122	residential	Strada Bujorul Alb		0	0	0	0	0
	23733422	 	5122	residential	Strada Magnoliei		0	0	0	0	0
	23733423	 	5122	residential	Strada Sinaia		0	0	0	0	0
	23733438	 	5122	residential	Aleea Sinaia		0	0	0	0	0
	23733448	 	5122	residential	Strada Pâncota		0	0	0	0	0
	23733449	 	5122	residential	Strada Pâncota		0	0	0	0	0
	23733454	 	5122	residential	Strada Pâncota		0	0	0	0	0
	23733459	 	5122	residential	Strada Pâncota		0	0	0	0	0
	23733464	 	5122	residential	Strada Constanța		0	0	0	0	0
	23733475	 	5122	residential	Intrarea Babadag		0	0	0	0	0
	23733480	 	5122	residential	Intrarea Placajului		0	0	0	0	0
	23733485	 	5122	residential	Intrarea Canotajului		0	0	0	0	0
	23733488	 	5122	residential	Intrarea Varna		0	0	0	0	0
	23733513	 	5122	residential	Strada Sighet		0	0	0	0	0
	23733526	 	5122	residential	Intrarea Panacota		0	0	0	0	0
	23733530	 	5122	residential	Crișul Negru		0	0	0	0	0
	23733543	 	5121	unclassified	Intrarea Heliade Între Vii		0	0	0	0	0
	23733546	 	5122	residential	Strada Delianu Dragusin		0	0	0	0	0
	23733550	 	5122	residential	Coifului		0	0	0	0	0
	23733552	 	5122	residential	Strada Zalelor		0	0	0	0	0
	23733556	 	5122	residential	Strada Ciorchinilor		0	0	0	0	0
	23733557	 	5122	residential	Strada Garbov		0	0	0	0	0
	23733568	 	5114	secondary	Șoseaua Andronache	DJ200	0	0	0	0	0
	23733613	 	5114	secondary	Ștefănești	DJ200	0	0	0	1	0
	23733628	 	5114	secondary	Ștefănești	DJ200	0	0	0	0	0
